"","voyage","date_start","date_end","lat_range","lon_range","no_records","no_birds","no_spp"
"1","in2016_t02","2016-08-25","2016-08-28","-43 – -34","147 – 152",344,475,25
"2","in2016_v06","2016-10-29","2016-11-12","-27 – -27","153 – 155",284,2892,14
"3","in2017_v02","2017-03-16","2017-03-27","-47 – -43","142 – 147",911,7122,30
"4","in2017_t01","2017-09-24","2017-10-01","-33 – -9","143 – 154",370,4540,17
"5","in2017_t02","2017-11-24","2017-11-25","-44 – -42","141 – 147",113,11010,17
"6","in2018_t02","2018-05-14","2018-05-20","-43 – -27","148 – 154",214,6168,31
"7","in2018_c01","2018-05-28","2018-06-07","-41 – -39","146 – 149",644,2846,25
"8","in2018_v04","2018-09-11","2018-10-07","-47 – -34","141 – 155",1136,10434,36
"9","in2018_v06","2018-11-22","2018-12-18","-44 – -41","146 – 149",1957,59628,43
"10","in2019_v07","2019-04-10","2019-04-22","-43 – -38","147 – 150",412,1472,26
"11","in2019_t01","2019-04-29","2019-05-02","-44 – -39","141 – 148",140,177,18
"12","in2019_v04","2019-08-07","2019-09-01","-24 – -10","146 – 160",1321,13383,26
"13","in2019_t02","2019-10-03","2019-10-10","-27 – -9","142 – 154",245,1895,28
"14","fk201228","2020-12-27","2021-01-25","-27 – -23","153 – 157",1063,17298,20
"15","fk210206","2021-02-06","2021-03-05","-27 – -19","153 – 157",1107,3306,14
